store,title,validUntil,image,price,oldPrice,loyaltyRequired,storeSize,description,discountInfo,productBrand,discountDescription
"IKI","Obuoliai GALA","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-001.jpg","0.79","","true","0","1 kg","SUPER KAINA","",""
"IKI","ROKIŠKIO saldžios grietinėlės sviestas","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-002.jpg","1.39","2.79","true","0","200 g, 82 % rieb., 6,95 Eur/kg","-50%","",""
"IKI","Saldumynams PERGALĖ","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-003.jpg","","","true","0","Įvairių rūšių. Ir IKI EXPRESS","","",""
"IKI","CLEVER sveriami svogūnai","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-004.jpg","0.28","","true","0","1 kg","SUPER KAINA","",""
"IKI","Kiaulienos kumpis be kaulo","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-005.jpg","2.99","4.49","true","0","1 kg, (vakuuminėje pakuotėje)","-33%","",""
"IKI","Aliejui NATURA","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-006.jpg","","","true","0","Įvairių rūšių. Ir IKI EXPRESS","","",""
"IKI","Malta kava PAULIG CLASSIC","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-007.jpg","6.79","9.99","true","0","500 g, 13,58 Eur/kg. Ir IKI EXPRESS","SUPER KAINA","",""
"IKI","Produkcijai MALSENA","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-008.jpg","","","true","0","Įvairių rūšių. Ir IKI EXPRESS","","",""
"IKI","Mėsos ir žuvų konservams","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-009.jpg","","","true","0","Įvairių rūšių. Ir IKI EXPRESS","","",""
"IKI","Produkcijai LAIMA","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-010.jpg","","","true","0","Įvairių rūšių","","",""
"IKI","Sveriamiems saldainiams ROSHEN","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-011.jpg","","","true","3","Įvairių rūšių","","",""
"IKI","Produkcijai SELGA","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-012.jpg","","","true","0","Įvairių rūšių. Ir IKI EXPRESS","","",""
"IKI","Produkcijai JAVINĖ","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-013.jpg","","","true","0","Įvairių rūšių. Ir IKI EXPRESS","","",""
"IKI","Sausainiams ir krekeriams GAIDELIS","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-014.jpg","","","true","0","Įvairių rūšių. Ir IKI EXPRESS","","",""
"IKI","Sausainiams BIRŽŲ DUONA","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-015.jpg","","","true","0","Įvairių rūšių. Ir IKI EXPRESS","","",""
"IKI","Saldumynams RŪTA","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-016.jpg","","","true","0","Įvairių rūšių. Pasiūlymas galioja 2026 02 16 – 02 22","","",""
"IKI","Saldumynams GEISHA","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-017.jpg","","","true","0","8 rūšių. Ir IKI EXPRESS","","",""
"IKI","Šokolado plytelė KARŪNA","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-018.jpg","1.49","2.69","true","0","80 g, 18,63 Eur/kg. Ir IKI EXPRESS","-45%","",""
"IKI","Prancūziški sausainiai TALER","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-019.jpg","2.79","3.69","true","0","185 g, 15,08 Eur/kg","TIK","",""
"IKI","Guminukai AMOS","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-020.jpg","1.29","1.99","true","3","65 g, 72 g, 4 rūšių","TIK","",""
"IKI","Ledinukams ir saldainiams CHUPA CHUPS","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-021.jpg","","","true","0","8 rūšių. Ir IKI EXPRESS","","",""
"IKI","Guminukams HARIBO","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-022.jpg","","","true","0","Įvairių rūšių. Ir IKI EXPRESS","","",""
"IKI","Saldainiams BAZOOKA","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-023.jpg","","","true","3","8 rūšių. Ir IKI EXPRESS","","",""
"IKI","Guminukai VIDAL","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-024.jpg","0.79","1.39","true","0","Įvairių rūšių. Ir IKI EXPRESS","-43%","",""
"IKI","Ledinukai HALLS","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-025.jpg","0.59","0.95","true","3","32 g, 34 g, 45 g, 7 rūšių","TIK","",""
"IKI","Sausainiams, sausučiams ir javinukams KAKĖ MAKĖ","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-026.jpg","","","true","0","120 g, 150 g, 180 g, 3 rūšių","","",""
"IKI","Guminukas MEGA BEAR","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-027.jpg","5.99","8.99","true","0","350 g, 17,11 Eur/kg","TIK","",""
"IKI","Saldumynams AHA ir KIDDY","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-028.jpg","","","true","0","Įvairių rūšių","","",""
"IKI","Dražė ir saldainiams M&M’s ir MALTESERS","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-029.jpg","","","true","0","10 rūšių. Ir IKI EXPRESS","","",""
"IKI","Sveriami saldainiai SKRIVERU KARVUTĖ","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-030.jpg","7.79","10.49","true","3","1 kg. Pasiūlymas galioja 2026 02 16 – 02 22","TIK","",""
"IKI","Sveriami saldainiai MIGLĖ","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-031.jpg","8.59","12.49","true","3","1 kg, 2 rūšių","TIK","",""
"IKI","Šokolado plytelė SCHOGETTEN","Galioja: 02.16 - 02.22","https://iki.lt/wp-content/uploads/2026/02/13/20260216-032.jpg","1.49","2.69","true","0","100 g, 5 rūšių, 14,90 Eur/kg. Pasiūlymas galioja 2026 02 16 – 02 22","TIK","",""
