store,title,validUntil,image,price,oldPrice,loyaltyRequired,storeSize,description,discountInfo,productBrand,discountDescription
"Lidl","Pomidorai su šakelėmis","","https://imgproxy-retcat.assets.schwarz/QjMhYDIa268ygUkNh7fWl8x1kt7dMt-I68iVaPQTLbg/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50L0EwNjk5MzhENjU1QzA0REY3NUQ0RTdFOE/Y1Qjk3MzQ5RURDREQ1OEM2QkJDRUI2NzM1Nzc5NEY5RjdDNTkyNkEucG5n.png","1.99","2.99","false","","1 kg","-33%","",""
"Lidl","Šviežia viščiukų ketvirčių mėsa","","https://imgproxy-retcat.assets.schwarz/lcCqeBFvsZwkJrJwcE4IZRxhAHBas_3m_o5IF0oCvPg/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50LzAwNDBFQ0U0QjBCMjgzQzVDQTA0ODQ2QT/UyOTVDMzRGNDI1QzBFMTM2MzBENEIwRjg1REE2OERBMkU3MDE1RDMucG5n.png","4.79","5.99","true","","1 kg","-20%","",""
"Lidl","Sviestas, 82 %","02 16 - 02 22","https://imgproxy-retcat.assets.schwarz/eE9-ObxWP1Sg5frzihl_l7yysVvsUXEIQg19_wvS3nk/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvbHQvMS9GQjNBOUIwNDY5OTIzQjQyMTAxNkM2RTl/BODI1NzQ3REU2QzNEOUJDQzlFQkFCMUZBOENGODExN0VBNjE5QjNGLnBuZw.png","1.19","","false","","250 g / 1 kg = 4,76 €","250 G","Pilos",""
"Lidl","Gazuotas gaivusis gėrimas","Nuo 02 16","https://imgproxy-retcat.assets.schwarz/s43xEsoFNWFPLotY6PtcEgfhbbwk5O0dvzghE5pMDiQ/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50LzMzREE1MDM1RjUyNkIzREUxN0Q4NjBCOT/FBNTBERTFGM0E2MzgwQTc4RUI4NEJDNEZCNzQ4QzA2NkFGMzRDRDcucG5n.png","2.89","","false","","2 x 2 l / 1 l = 0,72 €","2 X 2 L","Coca - Cola / Fanta / Sprite",""
"Lidl","Šviežias smulkintas kiaulienos kumpis","","https://imgproxy-retcat.assets.schwarz/idoDdTbtLLZXMXPSjmv0ObJ6Rs8vyJ-B0m6_2Pr_x8Y/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50L0IwM0Y4QzZFNjE1RTlEQTY0N0ZFRTIwQj/IwNjBGNkFCOENCNTJCMTAxRjcxMjg1NkU0QzMxRjJGODgyRTU2ODkucG5n.png","1.79","2.25","false","","450 g / 1 kg = 3,98 €","-20%","",""
"Lidl","Šviežia pjaustyta kiaulienos nugarinė","","https://imgproxy-retcat.assets.schwarz/Ez9up3HVAF8TvOjCSqKDaFEBo2wjNQOMXLG1304E_bM/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvbHQvMS84QTQyNDVENzFDQTREQzIyMzk1RjVENzF/GNDdDNjNFOEM1RTNEQUNBQkQ1MUQ3MTlBMDYxQjYzM0U3QkZBMzM5LnBuZw.png","2.25","3.29","false","","360 g / 1 kg = 6,25 €","-31%","",""
"Lidl","Šernienos guliašas","","https://imgproxy-retcat.assets.schwarz/VT64p1JXLqU9Okh8PGxL4g9UJZsRgTNHGn_6NE7O8oQ/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvbHQvMS85MUYyNDBDODI1RTkyMUI1NkM3RjYxMkI/yMzc5RDlBM0IwQ0ExMEI2REMwM0NBQ0NGNUVCMkFDNDNBODU0RkRBLnBuZw.png","6.49","","false","","450 g / 1 kg = 14,42 €","SUPERKAINA!","LINNAMÄE",""
"Lidl","Brokoliai","","https://imgproxy-retcat.assets.schwarz/KzkoJ5ElvZuq4NuB6YwImo2UwJ_q6SOKFVF3eFzTvyo/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50LzA0RjdCQ0E4OTdBRkNFMzMyNEU3RDlDMk/ZERDkzNDdCQkQyMzYzMUM2OURCMkJFRkM1OThFMDhCMUYxMkI2MzAucG5n.png","1.19","1.99","false","","1 vnt.","-40%","",""
"Lidl","Greipfrutai","","https://imgproxy-retcat.assets.schwarz/hHbAFBomREIYyiKPEaop5GHMJtDu1TyEUl82wGG6CNg/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvbHQvMS9DNTgyQzdEMUZCMDY0OTg4OTEwOTM0OTl/EQTM3Q0FGMDA2NjlDN0Y2MENEODhBNzcyNUMzODgxMTFENTFBN0EzLnBuZw.png","1.49","2.49","false","","1 kg","-40%","",""
"Lidl","Žaliosios cukinijos","","https://imgproxy-retcat.assets.schwarz/5n1oxhudMkAf1W4MMn6J7o2kLicC7sVt8opU_IC-wys/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvbHQvMS84NEZGQzUzOEFGRThGN0UzMzg0NjJDRUE/yMzBERjQ5Q0FDREEwNURENjY0NTI1RDZEOTY0QkI0M0FGRkQzQzYxLnBuZw.png","3.49","5.49","false","","1 kg","-36%","",""
"Lidl","Ekologiški mažieji špinatai","","https://imgproxy-retcat.assets.schwarz/iQymF3ShO5fuVrzQ3lkPpCwl562JGRl26YrMLySCu1o/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvbHQvMS81QzY1RjM3MjI1NkIyMEJERkRFNThFNzQ/3OEU4NkMxQTJGOEU4QjM2NTUxRUIyMjk4NjgwMzRGNUNDN0ZDOEE3LnBuZw.png","1.29","1.99","true","","100 g | 1 kg = 12,90 €","-35%","",""
"Lidl","Ekologiškos morkos","","https://imgproxy-retcat.assets.schwarz/fg6j0eZPpfpkJC-jyG7ArQNJHdWVHhssmCWuWb6MMYU/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50LzA4MDgxNkE1OEYwRDM4NkNFMEI5NUI2OT/lGQTgyRUE5RTlENjlGRjIyQkFEQTJCNDlCMDhCNEI4QjcyQzdGQTAucG5n.png","1.29","1.99","true","","1 kg","-35%","",""
