store,title,validFrom,validUntil,image,price,oldPrice,loyaltyRequired,storeSize,description,discountInfo,productBrand,discountDescription
"Maxima","Obuoliai JONAGOLD, 1 kg","","2026-02-23","https://offers.maxima.lt/media/MarketingOffer/699566f7011b5.png","0.79","1.69","false","0","Iki 02.23","-53%","",""
"Maxima","Braškės, fasuotos, 250 g","","2026-02-23","https://offers.maxima.lt/media/MarketingOffer/698f31f75da2c.png","2.29","3.99","false","0","1 kg – 9,16 €","-42%","",""
"Maxima","Ilgavaisis agurkas, 1 vnt.","","2026-02-23","https://offers.maxima.lt/media/MarketingOffer/698f31fad2e4c.png","0.99","1.49","false","0","Iki 02.23","-33%","",""
"Maxima","Įvairių vyšninių pomidorų mišinys*, fasuoti, 500 g","","2026-02-22","https://offers.maxima.lt/media/MarketingOffer/698f3206689c3.png","2.49","3.99","false","0","1 kg – 4,98 €","-37%","",""
"Maxima","AVOKADAMS*","","2026-02-22","https://offers.maxima.lt/media/MarketingOffer/698f3205e30e0.png","","","false","0","Iki 02.22","-30%","",""
"Maxima","Kriaušės WILLIAMS*, 60–70 mm, 1 kg","","2026-02-23","https://offers.maxima.lt/media/MarketingOffer/698f31f0bab84.png","2.49","3.49","false","0","Iki 02.23","-28%","",""
"Maxima","Geltonieji obuoliai SHINANO GOLD*, nuo 80 mm, 1 kg","","2026-02-23","https://offers.maxima.lt/media/MarketingOffer/698f31f04a706.png","2.39","2.99","false","2","Iki 02.23 , nuo","-20%","",""
"Maxima","Obuoliai GREENSTAR*, nuo 75 mm, 1 kg","","2026-02-23","https://offers.maxima.lt/media/MarketingOffer/698f31f6658bc.png","1.89","2.79","false","2","Iki 02.23 , nuo","-32%","",""
"Maxima","Obuoliai PRIMO*, nuo 90 mm, 1 kg","","2026-02-23","https://offers.maxima.lt/media/MarketingOffer/698f31f5ec72a.png","1.79","2.49","false","2","Iki 02.23 , nuo","-28%","",""
"Maxima","Kriaušės ABATE*, 70–80 mm, 1 kg","","2026-02-23","https://offers.maxima.lt/media/MarketingOffer/698f31f69faad.png","3.49","4.49","false","0","Iki 02.23","-22%","",""
"Maxima","Obuoliai PINK LADY*, nuo 75 mm, 1 kg","","2026-02-23","https://offers.maxima.lt/media/MarketingOffer/698f31f5b4051.png","2.39","2.99","false","2","Iki 02.23 , nuo","-20%","",""
"Maxima","Obuoliai AMBROSIA*, nuo 80 mm, 1 kg","","2026-02-23","https://offers.maxima.lt/media/MarketingOffer/698f31f64c591.png","2.39","2.99","false","2","Iki 02.23 , nuo","-20%","",""
"Maxima","Obuoliai CRIMSON SNOW*, nuo 80 mm, 1 kg","","2026-02-23","https://offers.maxima.lt/media/MarketingOffer/698f31f5d12c7.png","1.99","2.59","false","2","Iki 02.23 , nuo","-23%","",""
"Maxima","Obuoliai KANZI*, 80–90 mm, 1 kg","","2026-02-23","https://offers.maxima.lt/media/MarketingOffer/698f31f6ba1e1.png","1.99","2.89","false","2","Iki 02.23 , nuo","-31%","",""
