store,title,validUntil,image,price,oldPrice,loyaltyRequired,storeSize,description,discountInfo,productBrand,discountDescription
"Rimi","Brokolis RIMI, 350 g","","https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_978280_PCE_LT","0.99","1.89","true","","5,40 €/kg","","","2,83 €/kg"
"Rimi","Kokteiliniai pomidorai su šakel., 1 kl. 500 g","","https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_277348_PCE_LT","1.99","2.99","true","","5,98 €/kg","","","3,98 €/kg"
"Rimi","Šilauogės RIMI, 400 g","","https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_974977_PCE_LT","3.89","6.29","true","","15,72 €/kg","","","9,72 €/kg"
"Rimi","Mandarinai Mirav, 1 kl., kg","","https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_211248_KGM_LT","1.49","1.99","true","","1,99 €/kg","","","1,49 €/kg"
"Rimi","ROKIŠKIO sviestas, 82 % rieb., 200 g","","https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_248955_PCE_LT","1.59","2.79","true","","13,95 €/kg","","","7,95 €/kg"
"Rimi","Pievagrybiai RIMI, 250 g","","https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_297915_PCE_LT","0.99","1.59","true","","6,36 €/kg","","","3,96 €/kg"
"Rimi","Pop. rankšl. RIMI , 2 sl. 600 l.","","https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_816077_PCE_LT","2.79","4.79","true","","4,79 €/vnt.","","","2,79 €/vnt."
"Rimi","VILKYŠKIŲ varškė, 9 % rieb., 180 g","","https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_276598_PCE_LT","0.99","1.19","false","","5,50 €/kg","","",""
"Rimi","Tualet. popierius ZEWA DELUXE, 3 sl., 8 rit.","","https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_768328_PCE_LT","3.24","6.49","true","","0,81 €/vnt.","-50%","","0,41 €/vnt."
"Rimi","Kosmet.servet. ZEWA SOFTIS 4sl.80vnt","","https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_779782_PCE_LT","1.44","2.89","true","","0,04 €/vnt.","-50%","","0,02 €/vnt."
